customer_id,snapshot,churn_probability,expected_dollar_churn,inferred_interval,interval_confidence,recommendation,reason,detail,auto_decided,model_version
IwQRSnhBTXqAznAT,2025-03-05,0.99,75.14,irregular,0.1275,Review,low_interval_confidence,interval_confidence 0.13 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
VgpdQWV49Zf67PHj,2025-03-05,0.963,0.0,monthly,0.6978,No-Go,high_churn_risk,"churn_prob 0.96 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
8uBXd2puAOS7kfM5,2025-03-05,0.9861,175.15,irregular,0.3,Review,low_interval_confidence,interval_confidence 0.30 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
n2ne0u6oXlVLAkm5,2025-03-05,0.9948,75.55,monthly,0.6012,No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
vN1tt9SCoL0W1PC4,2025-03-05,0.5736,309.99,monthly,0.3867,Review,low_interval_confidence,interval_confidence 0.39 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
dOxQkDVIfC2ySFyE,2025-03-05,0.99,95.7,monthly,0.528,No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
E2FamHmBgEhXZ9MO,2025-03-05,0.4952,218.69,monthly,0.9512,Review,borderline_churn_risk,"churn_prob 0.50 vs Continue<= 0.30, No-Go>= 0.70.",false,20260712_032913
hLde8j1hrAQXnVKL,2025-03-05,0.5736,44.69,one_time_candidate,0.9475,Review,borderline_churn_risk,"churn_prob 0.57 vs Continue<= 0.30, No-Go>= 0.70.",false,20260712_032913
tAcA7X00Y8zfhnNo,2025-03-05,0.9912,166.62,monthly,0.5906,No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
56iwD0LNEetFghcj,2025-03-05,0.99,0.0,irregular,0.3,Review,low_interval_confidence,interval_confidence 0.30 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
ADWI7Bp7LVG80EGl,2025-03-05,0.99,340.88,irregular,0.0892,Review,low_interval_confidence,interval_confidence 0.09 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
1c3LEr5plL0CfUfh,2025-03-05,0.8318,32.25,annual,0.7997,No-Go,high_churn_risk,"churn_prob 0.83 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
GbqVsuuTkJJ418pP,2025-03-05,0.99,95.7,monthly,0.5288,No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
Buojv8LO2qp5qXkm,2025-03-05,0.99,340.88,irregular,0.1275,Review,low_interval_confidence,interval_confidence 0.13 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
kmFPw4R1FLJlg37D,2025-03-05,0.5736,25.12,one_time_candidate,0.95,Review,borderline_churn_risk,"churn_prob 0.57 vs Continue<= 0.30, No-Go>= 0.70.",false,20260712_032913
LDSLd27yPzPyY2VU,2025-03-05,0.8031,119.31,annual,0.62,No-Go,high_churn_risk,"churn_prob 0.80 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
FqHwRGjGmQpJGc6z,2025-03-05,0.5736,44.69,one_time_candidate,0.9475,Review,borderline_churn_risk,"churn_prob 0.57 vs Continue<= 0.30, No-Go>= 0.70.",false,20260712_032913
cbkmZmuTmKYHTzf6,2025-03-05,0.7471,8.54,irregular,0.05,Review,low_interval_confidence,interval_confidence 0.05 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
08ePzgXhHAboQpI3,2025-03-05,0.8318,289.79,monthly,0.4833,Review,low_interval_confidence,interval_confidence 0.48 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
ob5V2jzMLOTuWuoo,2025-03-05,0.9861,0.86,monthly,0.8465,No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
SLRsixrONDeDxHl7,2025-03-05,0.982,191.94,irregular,0.3,Review,low_interval_confidence,interval_confidence 0.30 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
TTRo025BC9AUY7Oo,2025-03-05,0.8318,32.25,annual,0.7997,No-Go,high_churn_risk,"churn_prob 0.83 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
DyqL3NBCNQdne2Uq,2025-03-05,0.6181,343.25,annual,0.5998,Review,borderline_churn_risk,"churn_prob 0.62 vs Continue<= 0.30, No-Go>= 0.70.",false,20260712_032913
RRPIEzJt7YkOxBZx,2025-03-05,0.99,340.88,irregular,0.0892,Review,low_interval_confidence,interval_confidence 0.09 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
ZNbdbrPqgDMkw7F5,2025-03-05,0.99,340.88,irregular,0.1275,Review,low_interval_confidence,interval_confidence 0.13 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
FdChr8M3eRo9FHjd,2025-03-05,0.6331,90.01,irregular,0.3,Review,low_interval_confidence,interval_confidence 0.30 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,20260712_032913
z14Kq1PprCJ56ASk,2025-03-05,0.9494,1038.58,annual,0.5641,No-Go,high_churn_risk,"churn_prob 0.95 vs Continue<= 0.30, No-Go>= 0.70.",true,20260712_032913
