continue_max_risk,nogo_min_risk,min_interval_confidence,n,Continue,Review,No-Go,continue_pct,review_pct,nogo_pct,is_config_default
0.2,0.6,0.3,500,0,144,356,0.0,28.8,71.2,false
0.2,0.7,0.3,500,0,163,337,0.0,32.6,67.4,false
0.2,0.8,0.3,500,0,171,329,0.0,34.2,65.8,false
0.3,0.6,0.3,500,0,144,356,0.0,28.8,71.2,false
0.3,0.7,0.3,500,0,163,337,0.0,32.6,67.4,false
0.3,0.8,0.3,500,0,171,329,0.0,34.2,65.8,false
0.4,0.6,0.3,500,7,137,356,1.4,27.4,71.2,false
0.4,0.7,0.3,500,7,156,337,1.4,31.2,67.4,false
0.4,0.8,0.3,500,7,164,329,1.4,32.8,65.8,false
0.5,0.6,0.3,500,22,122,356,4.4,24.4,71.2,false
0.5,0.7,0.3,500,22,141,337,4.4,28.2,67.4,false
0.5,0.8,0.3,500,22,149,329,4.4,29.8,65.8,false
0.2,0.6,0.5,500,0,242,258,0.0,48.4,51.6,false
0.2,0.7,0.5,500,0,256,244,0.0,51.2,48.8,false
0.2,0.8,0.5,500,0,262,238,0.0,52.4,47.6,false
0.3,0.6,0.5,500,0,242,258,0.0,48.4,51.6,false
0.3,0.7,0.5,500,0,256,244,0.0,51.2,48.8,true
0.3,0.8,0.5,500,0,262,238,0.0,52.4,47.6,false
0.4,0.6,0.5,500,7,235,258,1.4,47.0,51.6,false
0.4,0.7,0.5,500,7,249,244,1.4,49.8,48.8,false
0.4,0.8,0.5,500,7,255,238,1.4,51.0,47.6,false
0.5,0.6,0.5,500,21,221,258,4.2,44.2,51.6,false
0.5,0.7,0.5,500,21,235,244,4.2,47.0,48.8,false
0.5,0.8,0.5,500,21,241,238,4.2,48.2,47.6,false
0.2,0.6,0.7,500,0,381,119,0.0,76.2,23.8,false
0.2,0.7,0.7,500,0,394,106,0.0,78.8,21.2,false
0.2,0.8,0.7,500,0,395,105,0.0,79.0,21.0,false
0.3,0.6,0.7,500,0,381,119,0.0,76.2,23.8,false
0.3,0.7,0.7,500,0,394,106,0.0,78.8,21.2,false
0.3,0.8,0.7,500,0,395,105,0.0,79.0,21.0,false
0.4,0.6,0.7,500,7,374,119,1.4,74.8,23.8,false
0.4,0.7,0.7,500,7,387,106,1.4,77.4,21.2,false
0.4,0.8,0.7,500,7,388,105,1.4,77.6,21.0,false
0.5,0.6,0.7,500,20,361,119,4.0,72.2,23.8,false
0.5,0.7,0.7,500,20,374,106,4.0,74.8,21.2,false
0.5,0.8,0.7,500,20,375,105,4.0,75.0,21.0,false
