feature,importance
PortfolioMeanSales,0.374086088603588
PortfolioActiveRate,0.19691859838660397
PortfolioMeanClients,0.18404894996847926
PortfolioMeanRetention,0.08200244343677197
PortfolioMeanBudget,0.06483801820716191
PortfolioSize,0.028914902469960844
PortfolioMeanSuccessScore,0.028177329754884625
PortfolioStdBudget,0.013679398159531638
ActiveCompanies,0.008002600161639572
PopulationPerCompany,0.0033156545551246233
PortfolioStdSuccessScore,0.0029097418882641887
AreaPerCompany,0.002314312119196122
LandlordAge,0.002066530553674776
PopulationDensity,0.002004987402142456
TotalPopulationAround,0.0017202759548829091
Area,0.0016575955425219809
PreferredIndustry,0.001355500176980128
OriginCity,0.0012366715540778784
OriginCountry,0.0007504011045132478
