feature,importance
PortfolioActiveRate,0.31192195415496826
PortfolioMeanSales,0.1922750174999237
PortfolioMeanClients,0.12242583185434341
PortfolioMeanBudget,0.06883257627487183
PortfolioMeanSuccessScore,0.057396382093429565
PortfolioSize,0.05655123293399811
PortfolioMeanRetention,0.052753791213035583
ActiveCompanies,0.026970256119966507
PortfolioStdBudget,0.020216314122080803
PortfolioStdSuccessScore,0.01080538984388113
OriginCountry,0.01035106461495161
PreferredIndustry,0.009920789860188961
PopulationPerCompany,0.009582191705703735
LandlordAge,0.00926976464688778
AreaPerCompany,0.009047584608197212
OriginCity,0.008831718005239964
PopulationDensity,0.008410986512899399
TotalPopulationAround,0.007686825934797525
Area,0.006750371307134628
