bin,n,mean_pred,mean_actual,lift
1,1484,0.47691835770267266,0.47810765260156646,1.0978075595185843
2,1484,0.4636417906506152,0.4636678946958289,1.0646516890775242
3,1484,0.4569191960212822,0.45733271671808967,1.0501051612463672
4,1484,0.4511348508373959,0.4508240638835039,1.0351603088784742
5,1484,0.4458363042492677,0.44568342379929404,1.0233566209130092
6,1484,0.4385682456723056,0.43830049663627785,1.006404302315238
7,1484,0.42897760720583167,0.42890575772506895,0.9848325593399725
8,1484,0.4173069428622353,0.41756157870490496,0.9587846067144441
9,1483,0.40158220600502803,0.40213345162557357,0.9233592910041808
10,1483,0.3743404999791955,0.3725315354092812,0.8553888094156686
