bin,n,mean_pred,mean_actual,lift
1,1484,0.4713562379790761,0.47553302857480123,1.0918958329354156
2,1484,0.4613217236051546,0.4632297271513467,1.0636455900534847
3,1484,0.4552603478313145,0.45643100099104733,1.0480346854104392
4,1484,0.45053613322193165,0.4512038002569895,1.0360322410869804
5,1484,0.4469933434151404,0.4461504362067638,1.0244289521098005
6,1484,0.44061145109657607,0.4385305915118505,1.006932634987672
7,1484,0.4301121874939164,0.4296877203116888,0.9866280638339516
8,1484,0.41780751747038375,0.4178917053981711,0.9595426275858826
9,1483,0.4036148302975191,0.4019391810022625,0.9229132162390045
10,1483,0.37804211256841386,0.3744525439645032,0.8597997359138063
